 장애인화장실명(역명) , 장애인화장실 상세위치 
 동대문역사문화공원역," 지하1층 10,11번 기둥앞 "
 동대문역사문화공원역, 지하2층 내부계단 옆 
 충무로역," 지하2층 3,4,5,6,7번 출구쪽, 게이트내 "
 명동역," 지하1층 2,3,4,5,6,7,8번 출구쪽, 게이트내 "
 회현역, 게이트내 지하2층  
 서울역," 14번 출구  옆, 11번 출구 물품보관함 건너편 "
 숙대입구역, 지하1층 가대합실과 나대합실 연결통로 가운데 위치 
 삼각지역," 지하 1층 3,4번 출구 게이트 안쪽 "
 신용산역, 지하1층 삼각지측 
 이촌역, 대합실(지하1층)역무실 앞 
 동작역, 대합실 2층 구내식당좌측 
 총신대입구역, 지하1층 동작측 
 사당역, (지하1층 총신대측) 
 사당역, (지하1층 남태령측) 
 사당역, (지하2층 환승통로) 
 남태령역, (지하2층역무실 옆) 
 방화역," 대합실 1층 3,4번출구방향 앞 "
 개화산역, 대합실 지하1층 하선E/L 옆  
 김포공항역," 대합실 1층, 1번출구 옆(지하철경찰센터 옆) "
 김포공항역," 대합실 2층,1번출구 아래(국내선 연결통로 방면) "
 송정역, 대합실 2층 ES 1호기 앞 
 마곡역, 지하1층 대합실 2번출구 하단 
 발산역," 대합실 1층 1, 9번 출구 사이 "
 우장산역, 지하1층 대합실 2번출구 앞 
 화곡역," 대합실 1층 7,8번 출구 앞 "
 까치산역," 대합실(지하1층) 3,4번 출구 앞 "
 신정역," 2,3번 출구 지하 (가)대합실 운임지역 내  "
 목동역, 대합실 지하1층 7번출구 옆 
 오목교역, 대합실 B1층 3번 출구 방향 임대상가 옆 
 양평역, b1층 고객상담실 옆. 운임지역내 
 영등포구청역, 대합실 지하1층 7번출구 방면 
 영등포시장역," 대합실 1층  2, 3번출구 앞  "
 신길역, 대합실(B3) 3번출구 앞 
 여의도역, 대합실1층  가게이트 옆 
 여의나루역, 지하1층 대합실 비운임지역 ES옆 
 마포역, 대합실 1층 토니모리 좌측 
 공덕역,  대합실 1층 3번출구 앞 
 애오개역, 대합실 1층 게이트 통과 후좌측 
 충정로역, 대합실 B1층 8번출구 방향  i센터 맞은 편 
 서대문역," 지하1층 대합실 1, 2번 출구내려와서 왼쪽편 "
 광화문역, 세종측 대합실 지하1층 
 종로3가역, (대합실 지하1층역무실 맞은편) 
 을지로4가역," 대합실 B1층, B2층 내려가는 계단 앞 "
 동대문역사문화공원역, 지하1층 
 신금호역, B2 게이트 앞 
 행당역, 지하3층 E/S 옆(고객상담실 및만남의장소 앞) 
 왕십리역, b2 대합실 상가2002호점 옆 
 마장역, 지하2층 대합실 
 답십리역," B1층 5,6번 출입구 방향 "
 장한평역, 지하 1층 1번출구 나가기전좌측방향 
 군자역, 지하1층 대합실 5 게이트(가) 앞 
 아차산역, 지하1층 대합실 
 광나루역, 지하1층 
 천호역," 지하1층 대합실(5,6번출구 방향) "
 강동역, 대합실 지하1층 2번출구 앞  
 길동역, 대합실 지하1층 3번 출구 옆 
 굽은다리역, 대합실 지하1층 3번출구 앞 
 명일역, 대합실 지하1층 3번출구 앞  
 고덕역, 대합실 지하1층 1번 출구 방향 
 상일동역, 대합실 지하1층 4번출구 앞 
 강일역, B2층 3번출구 앞 
 강일역, B2층 4번출구 앞 
 미사역, 대합실 지하1층 5번 출구옆 
 미사역, 대합실 지하1층 승강장 상선 내부계단옆 
 하남풍산역," 대합실 지하1층 1,2출구 앞 "
 하남시청역, 대합실 지하1층 1~3출구 앞 
 하남검단산역," 대합실 지하1층 1,2출구 앞 "
 둔촌동역," 대합실 지하1층, 3,4번 출구 방향 "
 올림픽공원역, 대합실 지하1층 2번출구 앞 
 방이역," 대합실 지하1층 3,4번 출구방향  "
 오금역, 대합실 지하1층 방이역 방향 
 개롱역," 1,4번호 출구 사이 "
 거여역, 대합실 1층 8번출구 앞 
 마천역, 대합실 지하1층 1번출구 방향에서우측 코너 
 응암역, 대합실 B1층 GS25 편의점 옆 
역촌역, 대합실 1층 3번출구 옆  
 불광역," 지하1층 가 대합실( 6,7번출구 아래)  "
 독바위역, 대합실 B1층 E/S 7호기 옆  
 연신내역," 대합실 B1층 6,7번출구방향 "
 구산역, 대합실 B1층 4번출구 맞은편 
 새절역, 대합실 1층 2번 출구 옆 
 증산역, 대합실 1층 1번출구 옆 
 디지털미디어시티역, 대합실 지하1층 4번출구 옆 
 디지털미디어시티역," 대합실 지하1층 2,3번출구 옆 "
 월드컵경기장역, 대합실 (B2 2번출구방향 게이트옆) 
 월드컵경기장역, 대합실 (B1 1번출구방향 게이트안쪽) 
 마포구청역, 가대합실 지하2층 
 마포구청역, 나대합실 지하1층 편의점옆 
 망원역, B1 대합실 1번출구 옆 
 합정역, 대합실 1층 8번출구 앞 
 상수역, B2 대합실 상가 미샤 옆 
 광흥창역, 대합실 2층 (1256번출구방향) 
 대흥역, 대합실 1층 4번출구 앞 
 공덕역, 대합실 1층 7번출구 앞 
 효창공원앞역," 대합실 1층 3,6번 출구 앞 "
 삼각지역," 대합실 1층 7,8번 출구 측면 "
 녹사평역," 대합실 지하1층 1,2번 출구 진입 방향 "
 이태원역, B1 대합실 E/S 옆 
 한강진역, 대합실 B1층 임대상가(gs25)옆 
 버티고개역, 대합실 1층 1번출구 앞 
 약수역," 대합실 B1 7,8번 출구앞 "
 청구역, B1 대합실 1번출구 나가는 방향 맞은편 위치 
 신당역, 대합실 B1층 5~8번출구 나가는 방향 계단 하부 
 동묘앞역, 대합실 1층 7번출구 앞 
 창신역, 대합실 1층 E/V1호기 뒷편 
 보문역, 지하2층 대합실 아이센터 옆 
 안암역," 대합실 B1층 3,4번출구 계단 인근 "
 안암역, 대합실 B2층 봉화산방면 승강장 계단 인근 
 고려대역, 지하 1층 대합실(게이트 안) 
 월곡역, 지하 1층  
 상월곡역,"  지하 2층 대합실(1, 4번출구방면) "
 돌곶이역," 지하 1층 대합실(6,7번출구 사이) "
 석계역, 지하 1층 대합실(7번출구 앞) 
 석계역, 지하 2층 대합실(환승통로) 
 태릉입구역, 대합실 지하1층 아이센터 옆 
 화랑대역, 지하 1층 대합실(게이트 밖) 
 봉화산역, 지하 1층 대합실(고객상담실 옆) 
 장암역, 1층 게이트 옆 
 도봉산역, 지상1층 대합실 앞 
 도봉산역, 지상1층 환승통로  
 수락산역, 대합실 지하2층 고객상담실 앞 
 마들역, 대합실 B2 에스컬레이터 앞  
 노원역," 지하2층대합실, 가아이센터앞 "
 중계역, 지하1층 1번출구 옆 
 하계역, 지하1층 4번출구 
 공릉역, 지하1층 아이센터 앞 
 태릉입구역, 대합실 지하3층 고객상담실 앞 
 먹골역, B1층 대합실 
 중화역, B1층  2번출구 방향 
 상봉역," B1층  1,2,5,6번출구앞 "
 면목역,  B1층 아이센터 앞 
 사가정역, B1층  1번출구 앞 
 용마산역, B1층  1번출구 앞 
 중곡역, B2층  게이트 앞 
 어린이대공원역, B2층  아이센터 옆 
 건대입구역, B2층 게이트 옆 
 뚝섬유원지역, 지상2층 대합실 
 청담역, B3 대합실 나 I센터 옆 
 강남구청역, B1층 대합실 가아이센터 맞은편 
 학동역," B2 1,2번 출구 계단 옆 "
 논현역," 대합실 1층 7,8번 출구 근처 "
 논현역, 대합실 2층 왓슨스 매장 뒤편 
 반포역, 대합실 지하2층 계단 옆 
 고속터미널역, 대합실 1층 3번출구 왼쪽 
 내방역, 대합실 지하1층 5~8번출구방면 
 이수역, 지하1층 연결통로 
 이수역, 지하3층 (가)게이트안쪽 상선 내부계단 옆 
 남성역, 대합실 상선 내부계단 옆 
 숭실대입구역, 대합실2층 
 상도역, 지하 2층 대합실 계단좌측 
 장승배기역," 지하2층 대합실 5,6번 출구방향 내부계단 옆 "
 신대방삼거리역, 대합실 2층 
 보라매역,  대합실 1층 3번출구 방향 
 신풍역, 대합실 1층 5번출구방향 
 대림역, 대합실 1층 
 남구로역," 대합실 1층 2~5번출구 방향(E/S 7,8호기 옆) "
 가산디지털단지역, 대합실 1층 4번출구 방향 
 철산역, 대합실 1층 3번 출구 방향 
 광명사거리역, 대합실 2층 연결통로( 가-ⓘ센터와 나-ⓘ센터 중간지점) 
 천왕역, 대합실 1층 2번 출구 방향 
 온수역, 대합실 1층 4번출구 방향 
 암사역, 대합실 B1층 2번 출구 방향 
 강동구청역, 대합실 B2층 게이트 옆 
 몽촌토성역," 대합실 B1층 1,2,3번 출구 방향 "
